Прогін,Кількість сторінок,Кількість процесорів,Кількість дисків,Початок сторінок,Кінець сторінок,Час в системі,Час очікування,Завантаження дисків,Завантаження каналу передачі,Завантаження процесорів,Зайняті сторінки,Кількість завдань в очікуванні
1,131,2,4,20,60,165.73400,154.70080,0.00432,0.00172,1.15490,115.54532,449.36515
2,300,5,4,10,30,187.19514,170.42204,0.00636,0.00256,1.70726,288.49521,181.55835
3,400,7,4,20,40,173.70460,138.57356,0.00638,0.00256,1.70904,383.29732,177.11052
4,500,10,10,20,40,196.82321,154.61053,0.00642,0.00257,1.72164,481.15002,182.68382
5,600,10,4,20,40,210.72068,173.73724,0.00641,0.00257,1.71872,578.11675,180.16315
6,600,10,4,20,45,193.00040,153.83184,0.00639,0.00256,1.71755,578.35022,179.64550
7,700,12,10,20,30,249.09198,197.06304,0.00645,0.00258,1.73338,671.84827,159.14083
8,400,10,10,10,40,190.83797,157.78739,0.00639,0.00255,1.71094,385.04400,183.16998
9,900,30,30,10,40,223.02492,156.65809,0.00642,0.00258,1.75333,862.55570,165.10426
10,1000,100,100,20,60,199.28478,139.64093,0.00646,0.00258,1.74146,964.88680,172.36689
11,2000,200,200,20,60,226.15527,158.66273,0.00642,0.00257,1.75833,1907.27910,156.66309
12,3000,300,300,20,60,228.51661,134.03566,0.00640,0.00256,1.76833,2795.18246,138.01853
